iata,name,city,country,lat,lng
FRI,Marshall Army Air Field,Fort Riley (Junction City),US,39.053021,-96.764202
FRM,Fairmont Municipal Airport,Fairmont,US,43.643901825,-94.4156036377
FRR,Front Royal Warren County Airport,Front Royal,US,38.9175,-78.253502
FSD,Sioux Falls Regional Airport,Sioux Falls,US,43.585463,-96.741152
FSI,Henry Post Army Air Field,Fort Sill,US,34.649799,-98.402199
FSK,Fort Scott Municipal Airport,Fort Scott,US,37.7984008789,-94.7694015503
FSM,Fort Smith Regional Airport,Fort Smith,US,35.336601,-94.367401
FST,Fort Stockton Pecos County Airport,Fort Stockton,US,30.9157009125,-102.916000366
FSU,Fort Sumner Municipal Airport,Fort Sumner,US,34.4833984375,-104.217002869
FMS,Fort Madison Municipal Airport,Fort Madison,US,40.659113,-91.327763
FTK,Godman Army Air Field,Fort Knox,US,37.907100677500004,-85.9720993042
FTW,Fort Worth Meacham International Airport,Fort Worth,US,32.819919,-97.360818
FTY,Fulton County Airport Brown Field,Atlanta,US,33.7790985107,-84.5214004517
FUL,Fullerton Municipal Airport,Fullerton,US,33.8720016479,-117.980003357
WFK,Northern Aroostook Regional Airport,Frenchville,US,47.2854995728,-68.31279754639999
FWA,Fort Wayne International Airport,Fort Wayne,US,40.978896,-85.194465
FXE,Fort Lauderdale Executive Airport,Fort Lauderdale,US,26.1972999573,-80.1707000732
FXY,Forest City Municipal Airport,Forest City,US,43.23469925,-93.62409973
FYM,Fayetteville Municipal Airport,Fayetteville,US,35.059700012200004,-86.5640029907
FYV,Drake Field,Fayetteville,US,36.00510025024414,-94.17009735107422
GAB,Gabbs Airport,Gabbs,US,38.923173,-117.9572
GAD,Northeast Alabama Regional Airport,Gadsden,US,33.972599,-86.088996
GAG,Gage Heibeck Airport,Gage,US,36.295502,-99.776398
GAI,Montgomery County Airpark,Gaithersburg,US,39.168301,-77.166
GBD,Great Bend Municipal Airport,Great Bend,US,38.344299,-98.8592
GBG,Galesburg Municipal Airport,Galesburg,US,40.937999725299996,-90.431098938
GBR,Walter J. Koladza Airport,Great Barrington,US,42.18420029,-73.40319824
GCC,Northeast Wyoming Regional Airport,Gillette,US,44.3489,-105.539001
JDA,Grant County Regional Airport / Ogilvie Field,John Day,US,44.404202,-118.962997
GCK,Garden City Regional Airport,Garden City,US,37.9275016785,-100.723999023
GCN,Grand Canyon National Park Airport,Grand Canyon - Tusayan,US,35.9524,-112.147003
GCY,Greeneville Municipal Airport,Greeneville,US,36.195648,-82.811482
GDM,Gardner Municipal Airport,Gardner,US,42.5499992371,-72.0160980225
GDV,Dawson Community Airport,Glendive,US,47.137658,-104.80691
